Name,Year,GroupNum,Status,Birth_Date,Birth_Place,Gender,Alma_Mater,Undergraduate_Major,Graduate_Major,Military_Rank,Military_Branch,Space_Flights,Space_Flight_hr,Space_Walks,Space_Walks_hr,Missions,Death_Date,Death_Mission
Steven W. Lindsey,1995,15,Retired,24-08-1960,"Arcadia, CA",Male,US Air Force Academy; US Air Force Institute of Technology,Engineering Science,Aeronautical Engineering,Colonel,US Air Force (Retired),5,1510,0,0,"STS-87 (Columbia), STS-95 (Discovery), STS-104 (Atlantis), STS-121 (Discovery), STS-133 (Discovery)",,
Story Musgrave,1967,6,Retired,19-08-1935,"Boston, MA",Male,Syracuse University; Marietta College; University of California-Los Angeles; University of Kentucky; University of Houston; Columbia University,Mathematics & Statistics; Chemistry,Business Administration; Physiology; Literature; Medicine,Colonel,US Air Force (Retired),6,1281,4,26,"STS-6 (Challenger), STS 51-F (Challenger), STS-33 (Discovery), STS-44 (Atlantis), STS-61 (Endeavor), STS-80 (Columbia)",,
Stuart A. Roosa,1966,5,Deceased,16-08-1933,"Durango, CO",Male,University of Colorado,Aeronautical Engineering,Business Administration; Physiology; Literature; Medicine,Colonel,US Air Force (Retired),1,216,0,0,Apollo 14,12-12-1994,Natural causes
Sunita L. Williams,1998,17,Active,19-09-1965,"Euclid, OH",Female,US Naval Academy; Florida Institute of Technology,Physical Science,Engineering Management,Captain,US Navy,2,7721,7,50,"STS-116/117 (Discovery/Atlantis), ISS-32/33 (Soyuz)",,
Susan J. Helms,1990,13,Retired,26-02-1958,"Charlotte, NC",Female,US Air Force Academy; Stanford University,Aeronautical Engineering,Aeronautics & Astronautics,Lieutenant General,US Air Force,5,5063,1,9,"STS-54 (Endeavor), STS-64 (Discovery), STS-78 (Columbia), STS-101 (Atlantis), STS-102/105 (Discovery)",,
Susan L. Kilrain (Still),1995,15,Retired,24-10-1961,"Augusta, GA",Female,Embry-Riddle University; Georgia Institute of Technology,Astronautical Engineering,Aerospace Engineering,Commander,US Navy (Retired),2,472,0,0,"STS-83 (Columbia), STS-94 (Columbia)",,
Tamara E. Jernigan,1985,11,Retired,07-05-1959,"Chattanooga, TN",Female,Stanford University; University of California-Berkeley; Rice University,Physics,Engineering Science; Astronomy,Commander,US Navy (Retired),5,1489,1,8,"STS-40 (Columbia), STS-52 (Columbia), STS-67 (Endeavor), STS-80 (Columbia), STS-98 (Discovery)",,
Taylor G. Wang,1985,11,Retired,16-06-1940,"Jiangxi, China",Male,University of California at Los Angeles,Physics,Physics,Commander,US Navy (Retired),1,168,0,0,STS 51-B (Challenger),,
Terence T. Henricks,1985,11,Retired,05-07-1952,"Bryan, OH",Male,US Air Force Academy; Golden Gate University,Civil Engineering,Public Administration,Colonel,US Air Force (Retired),4,1026,0,0,"STS-44 (Atlantis), STS-55 (Columbia), STS-70 (Discovery), STS-78 (Columbia)",,
Terrence W. Wilcutt,1990,13,Management,31-10-1949,"Russellville, KY",Male,Western Kentucky University,Mathematics,Public Administration,Colonel,US Air Force (Retired),4,1008,0,0,"STS-68 (Endeavor), STS-79 (Atlantis), STS-89 (Endeavor), STS-106 (Atlantis)",,
Terry J. Hart,1978,8,Retired,27-10-1946,"Pittsburgh, PA",Male,Lehigh University; MIT; Rutgers University,Mechanical Engineering,Mechanical Engineering; Electrical Engineering,Colonel,US Air Force (Retired),1,167,0,0,STS 41-C (Challenger),,
Terry W. Virts Jr.,2000,18,Active,01-12-1967,"Baltimore, MD",Male,US Air Force Academy; Embry-Riddle Aeronautical University,Mathematics,Aeronautics,Colonel,US Air Force,2,5122,3,18,"STS-130 (Endeavor), ISS-42/43 (Soyuz)",,
Theodore C. Freeman,1963,3,Deceased,18-02-1930,"Haversford, PA",Male,US Naval Academy; University of Michigan,Mathematics,Aeronautical Engineering,Captain,US Air Force,0,0,0,0,"STS-130 (Endeavor), ISS-42/43 (Soyuz)",31-10-1964,T-38 jet aircraft
Thomas D. Akers,1987,12,Retired,20-05-1951,"St. Louis, MO",Male,University of Missouri-Rolla,Applied Mathematics,Applied Mathematics,Colonel,US Air Force (Retired),4,814,4,29,"STS-41 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-79 (Atlantis)",,
Thomas D. Jones,1990,13,Retired,22-01-1955,"Baltimore, MD",Male,US Air Force Academy; University of Arizona,Applied Mathematics,Planetary Science,Colonel,US Air Force (Retired),4,1272,3,20,"STS-59 (Endeavor), STS-68 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis)",,
Thomas H. Marshburn,2004,19,Active,29-08-1960,"Statesville, NC",Male,Davidson College; University of Virginia; Wake Forest University; University of Texas Medical Branch-Galveston,Physics,Engineering Physics; Medicine; Medical Science,Colonel,US Air Force (Retired),2,3871,4,24,"STS-127 (Endeavor), ISS-34/35 (Soyuz)",,
Thomas J. Hennen,2004,19,Retired,17-08-1952,"Albany, GA",Male,,Physics,Engineering Physics; Medicine; Medical Science,Chief Warrant Officer,US Army (Retired),1,166,0,0,STS-44 (Atlantis),,
Thomas K. Mattingly II,1966,5,Retired,17-03-1936,"Chicago, IL",Male,Auburn University,Aeronautical Engineering,Engineering Physics; Medicine; Medical Science,Rear Admiral,US Navy (Retired),3,508,1,1,"Apollo 16, STS-4 (Columbia), STS 51-C (Discovery)",,
Thomas P. Stafford,1962,2,Retired,17-09-1930,"Weatherford, OK",Male,US Naval Academy,Aeronautical Engineering,Engineering Physics; Medicine; Medical Science,Lieutenant General,US Air Force (Retired),4,507,0,0,"Gemini 6, Gemini 9, Apollo 10, Apollo-Soyuz Test Project",,
Timothy J. Creamer,1998,17,Management,15-11-1959,"Ft. Huachuca, AZ",Male,Loyola College; MIT,Chemistry,Physics,Colonel,US Army (Retired),1,3917,0,0,ISS-22/23 (Soyuz),,
Timothy L. Kopra,2000,18,Active,09-04-1963,"Austin, TX",Male,US Military Academy; Georgia Institute of Technology; US Army War College,Computer Science,Aerospace Engineering; Strategic Studies,Colonel,US Army (Retired),2,5857,3,13,"STS-127/128 (Endeavor/Discovery), ISS-46/47 (Soyuz)",,
Tracy E. Caldwell (Dyson),1998,17,Active,14-08-1969,"Arcadia, CA",Female,California State University-Fullerton; University of California-Davis,Chemistry,Physical Chemistry,Colonel,US Army (Retired),2,4531,3,23,"STS-118 (Endeavor), ISS-23/24 (Soyuz)",,
Vance D. Brand,1966,5,Retired,09-05-1931,"Longmont, CA",Male,University of Colorado; University of California Los Angeles,Business Management; Aeronautical Engineering,Business Administration,Colonel,US Marine Corps Reserves,4,752,0,0,"Apollo-Soyuz Test Project, STS-5 (Columbia), STS 41-B (Challenger), STS-35 (Columbia)",,
Virgil I. Grissom,1959,1,Deceased,03-04-1926,"Mitchell, IN",Male,Purdue University,Mechanical Engineering,Business Administration,Lieutenant Colonel,US Air Force,2,5,0,0,"Mercury 4, Gemini 3, Apollo 1",27-01-1967,Apollo 1
Walter Cunningham,1963,3,Retired,16-03-1932,"Creston, IA",Male,University of California-Los Angeles,Physics,Physics,Colonel,US Marine Corps Reserves,1,260,0,0,Apollo 7,,
Walter M. Schirra Jr.,1959,1,Deceased,12-03-1923,"Hackensack, NJ",Male,US Naval Academy,Naval Sciences,Physics,Captain,US Navy (Retired),3,295,0,0,"Mercury 8, Gemini 6, Apollo 7",02-05-2007,Natural causes
Wendy B. Lawrence,1992,14,Retired,02-07-1959,"Jacksonville, FL",Female,US Naval Academy; MIT,Ocean Engineering,Ocean Engineering,Captain,US Navy (Retired),4,1223,0,0,"STS-67 (Endeavor), STS-86 (Atlantis), STS-91 (Discovery), STS-114 (Discovery)",,
William A. Anders,1963,3,Retired,17-10-1933,Hong Kong,Male,US Naval Academy; Air Force Institute of Technology,Nuclear Engineering,Nuclear Engineering,Major General,US Air Force Reserves (Retired),1,147,0,0,Apollo 8,,
William A. Oefelein,1998,17,Retired,29-03-1965,"Ft. Belvoir, VA",Male,Oregon State University; University of Tennessee,Electrical Engineering,Aviation Systems,Commander,US Navy (Retired),1,308,0,0,STS-116 (Discovery),,
William A. Pailes,1998,17,Retired,26-06-1952,"Hackensack, NJ",Male,US Air Force Academy; Texas A&M University,Computer Science,Computer Science,Colonel,US Air Force (Retired),1,97,0,0,STS 51-J (Atlantis),,
William B. Lenoir,1967,6,Deceased,14-03-1939,"Miami, FL",Male,MIT,Electrical Engineering,Electrical Engineering,Colonel,US Air Force (Retired),1,122,0,0,STS-5 (Columbia),26-08-2010,Natural causes
William C. McCool,1996,16,Deceased,23-09-1961,"San Diego, CA",Male,US Naval Academy; University of Maryland; US Naval Postgraduate School,Naval Sciences,Computer Science; Aeronautical Engineering,Commander,US Navy,1,382,0,0,STS-107 (Columbia),01-02-2003,STS-107 (Columbia)
William E. Thornton,1967,6,Retired,14-04-1929,"Faison, NC",Male,University of North Carolina,Physics,Medicine,Commander,US Navy,2,315,0,0,"STS-8 (Challenger), STS 51-B (Challenger)",,
William F. Fisher,1980,9,Retired,01-04-1946,"Dallas, TX",Male,Stanford University; University of Houston; University of Florida,Physics,Engineering; Medicine,Commander,US Navy,1,170,2,12,STS 51-I (Discovery),,
William F. Readdy,1987,12,Retired,24-01-1952,"Quonset Point, RI",Male,US Naval Academy,Aerospace Engineering,Engineering; Medicine,Captain,US Navy (Retired),3,672,0,0,"STS-42 (Discovery), STS-51 (Discovery), STS-79 (Atlantis)",,
William G. Gregory,1990,13,Retired,14-05-1957,"Lockport, NY",Male,US Air Force Academy; Columbia University; Troy State University,Engineering Science,Engineering Mechanics; Business Management,Lieutenant Colonel,US Air Force,1,399,0,0,STS-67 (Endeavor),,
William M. Shepherd,1984,10,Retired,26-07-1949,"Oak Ridge, TN",Male,US Naval Academy; MIT,Aerospace Engineering,Mechanical  Engineering,Captain,US Navy (Retired),4,3823,0,0,"STS-37 (Atlantis), STS-41 (Discovery), STS-52 (Columbia), ISS-01/STS-102 (Soyuz/Discovery)",,
William R. Pogue,1966,5,Retired,23-01-1930,"Okemah, OK",Male,Oklahoma Baptist University; Oklahoma State University,Education,Mathematics,Colonel,US Air Force (Retired),1,2017,2,13,Skylab 4,,
William S. McArthur Jr.,1990,3,Management,26-07-1951,"Laurinburg, NC",Male,US Military Academy; Georgia Institute of Technology,Applied Science & Engineering,Aerospace Engineering,Colonel,US Army (Retired),4,5398,4,24,"STS-58 (Columbia), STS-74 (Atlantis), STS-92 (Discovery), ISS-12 (Soyuz)",,
Winston E. Scott,1992,14,Retired,06-08-1950,"Miami, FL",Male,Florida State University; US Naval Postgraduate School,Music,Aeronautical Engineering,Captain,US Navy (Retired),2,590,3,19,"STS-72 (Endeavor), STS-87 (Columbia)",,
Yvonne D. Cagle,1996,16,Management,24-04-1959,"West Point, NY",Female,San Francisco State University,Biochemistry,Aeronautical Engineering,Colonel,US Air Force,0,0,0,0,"STS-72 (Endeavor), STS-87 (Columbia)",,
